questionUid,qKey,sourceJsPath,id,standardUnitKey,mappedUnitKey,matchedTerms,includedByForwardScan,status
h1:original/high/h1/2mid/23_팔마고_2학기_중간_고1_기출.js_7,original/high/h1/2mid/23_팔마고_2학기_중간_고1_기출.js_7,original/high/h1/2mid/23_팔마고_2학기_중간_고1_기출.js,7,H15-SA-12,H22-C2-04,직선의 방정식|원의 방정식|도형의 이동,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2mid/23_팔마고_2학기_중간_고1_기출.js_13,original/high/h1/2mid/23_팔마고_2학기_중간_고1_기출.js_13,original/high/h1/2mid/23_팔마고_2학기_중간_고1_기출.js,13,H15-SA-12,H22-C2-04,도형의 이동,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2mid/23_팔마고_2학기_중간_고1_기출.js_15,original/high/h1/2mid/23_팔마고_2학기_중간_고1_기출.js_15,original/high/h1/2mid/23_팔마고_2학기_중간_고1_기출.js,15,H15-SA-11,H22-C2-03,직선의 방정식|원의 방정식,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2mid/23_팔마고_2학기_중간_고1_기출.js_16,original/high/h1/2mid/23_팔마고_2학기_중간_고1_기출.js_16,original/high/h1/2mid/23_팔마고_2학기_중간_고1_기출.js,16,H15-SA-11,H22-C2-03,원의 방정식|도형의 이동,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2mid/23_팔마고_2학기_중간_고1_기출.js_17,original/high/h1/2mid/23_팔마고_2학기_중간_고1_기출.js_17,original/high/h1/2mid/23_팔마고_2학기_중간_고1_기출.js,17,H15-SB-01,,직선의 방정식|도형의 이동,false,REVIEW_REQUIRED
h1:original/high/h1/2mid/23_팔마고_2학기_중간_고1_기출.js_18,original/high/h1/2mid/23_팔마고_2학기_중간_고1_기출.js_18,original/high/h1/2mid/23_팔마고_2학기_중간_고1_기출.js,18,H15-SA-11,H22-C2-03,직선의 방정식|원의 방정식|도형의 이동,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2mid/23_팔마고_2학기_중간_고1_기출.js_20,original/high/h1/2mid/23_팔마고_2학기_중간_고1_기출.js_20,original/high/h1/2mid/23_팔마고_2학기_중간_고1_기출.js,20,H15-SA-12,H22-C2-04,직선의 방정식|원의 방정식|도형의 이동,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2mid/24_금당고_2학기_중간_고1_기출.js_1,original/high/h1/2mid/24_금당고_2학기_중간_고1_기출.js_1,original/high/h1/2mid/24_금당고_2학기_중간_고1_기출.js,1,H15-SA-12,H22-C2-04,직선의 방정식|도형의 이동,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2mid/24_금당고_2학기_중간_고1_기출.js_9,original/high/h1/2mid/24_금당고_2학기_중간_고1_기출.js_9,original/high/h1/2mid/24_금당고_2학기_중간_고1_기출.js,9,H15-SA-12,H22-C2-04,직선의 방정식|도형의 이동,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2mid/24_금당고_2학기_중간_고1_기출.js_15,original/high/h1/2mid/24_금당고_2학기_중간_고1_기출.js_15,original/high/h1/2mid/24_금당고_2학기_중간_고1_기출.js,15,H15-SA-12,H22-C2-04,평면좌표|도형의 이동,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2mid/24_금당고_2학기_중간_고1_기출.js_16,original/high/h1/2mid/24_금당고_2학기_중간_고1_기출.js_16,original/high/h1/2mid/24_금당고_2학기_중간_고1_기출.js,16,H15-SA-09,H22-C2-01,평면좌표,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2mid/24_금당고_2학기_중간_고1_기출.js_20,original/high/h1/2mid/24_금당고_2학기_중간_고1_기출.js_20,original/high/h1/2mid/24_금당고_2학기_중간_고1_기출.js,20,H15-SA-09,H22-C2-01,평면좌표|직선의 방정식|도형의 이동,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2mid/24_제일고_2학기_중간_고1_기출.js_13,original/high/h1/2mid/24_제일고_2학기_중간_고1_기출.js_13,original/high/h1/2mid/24_제일고_2학기_중간_고1_기출.js,13,H15-SB-03,,직선의 방정식,false,REVIEW_REQUIRED
h1:original/high/h1/2mid/24_제일고_2학기_중간_고1_기출.js_17,original/high/h1/2mid/24_제일고_2학기_중간_고1_기출.js_17,original/high/h1/2mid/24_제일고_2학기_중간_고1_기출.js,17,H15-SB-03,,직선의 방정식,false,REVIEW_REQUIRED
h1:original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js_1,original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js_1,original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js,1,H22-C2-01,H22-C2-01,평면좌표,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js_2,original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js_2,original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js,2,H22-C2-02,H22-C2-02,직선의 방정식,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js_3,original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js_3,original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js,3,H22-C2-03,H22-C2-03,원의 방정식,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js_4,original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js_4,original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js,4,H22-C2-03,H22-C2-03,원의 방정식,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js_5,original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js_5,original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js,5,H22-C2-04,H22-C2-04,직선의 방정식|원의 방정식|도형의 이동,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js_6,original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js_6,original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js,6,H22-C2-04,H22-C2-04,평면좌표|직선의 방정식|도형의 이동,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js_7,original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js_7,original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js,7,H22-C2-01,H22-C2-01,평면좌표,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js_8,original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js_8,original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js,8,H22-C2-03,H22-C2-03,원의 방정식,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js_9,original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js_9,original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js,9,H22-C2-01,H22-C2-01,평면좌표,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js_10,original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js_10,original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js,10,H22-C2-01,H22-C2-01,직선의 방정식,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js_11,original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js_11,original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js,11,H22-C2-03,H22-C2-03,원의 방정식,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js_12,original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js_12,original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js,12,H22-C2-03,H22-C2-03,평면좌표|직선의 방정식|원의 방정식,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js_13,original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js_13,original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js,13,H22-C2-04,H22-C2-04,직선의 방정식|도형의 이동,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js_14,original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js_14,original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js,14,H22-C2-02,H22-C2-02,직선의 방정식,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js_15,original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js_15,original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js,15,H22-C2-04,H22-C2-04,원의 방정식|도형의 이동,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js_16,original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js_16,original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js,16,H22-C2-03,H22-C2-03,원의 방정식,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js_17,original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js_17,original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js,17,H22-C2-02,H22-C2-02,직선의 방정식,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js_18,original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js_18,original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js,18,H22-C2-03,H22-C2-03,원의 방정식,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js_19,original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js_19,original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js,19,H22-C2-03,H22-C2-03,원의 방정식,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js_20,original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js_20,original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js,20,H22-C2-04,H22-C2-04,직선의 방정식|원의 방정식|도형의 이동,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js_21,original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js_21,original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js,21,H22-C2-03,H22-C2-03,원의 방정식,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js_22,original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js_22,original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js,22,H22-C2-04,H22-C2-04,직선의 방정식|도형의 이동,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2mid/25_매산고_2학기_중간_고1_기출.js_2,original/high/h1/2mid/25_매산고_2학기_중간_고1_기출.js_2,original/high/h1/2mid/25_매산고_2학기_중간_고1_기출.js,2,H22-C2-02,H22-C2-02,평면좌표|직선의 방정식,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2mid/25_매산고_2학기_중간_고1_기출.js_4,original/high/h1/2mid/25_매산고_2학기_중간_고1_기출.js_4,original/high/h1/2mid/25_매산고_2학기_중간_고1_기출.js,4,H22-C2-04,H22-C2-04,직선의 방정식|도형의 이동,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2mid/25_매산고_2학기_중간_고1_기출.js_6,original/high/h1/2mid/25_매산고_2학기_중간_고1_기출.js_6,original/high/h1/2mid/25_매산고_2학기_중간_고1_기출.js,6,H22-C2-02,H22-C2-02,직선의 방정식,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2mid/25_매산고_2학기_중간_고1_기출.js_7,original/high/h1/2mid/25_매산고_2학기_중간_고1_기출.js_7,original/high/h1/2mid/25_매산고_2학기_중간_고1_기출.js,7,H22-C2-03,H22-C2-03,원의 방정식,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2mid/25_매산고_2학기_중간_고1_기출.js_8,original/high/h1/2mid/25_매산고_2학기_중간_고1_기출.js_8,original/high/h1/2mid/25_매산고_2학기_중간_고1_기출.js,8,H22-C2-04,H22-C2-04,직선의 방정식|도형의 이동,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2mid/25_매산고_2학기_중간_고1_기출.js_9,original/high/h1/2mid/25_매산고_2학기_중간_고1_기출.js_9,original/high/h1/2mid/25_매산고_2학기_중간_고1_기출.js,9,H22-C2-01,H22-C2-01,평면좌표|직선의 방정식,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2mid/25_매산고_2학기_중간_고1_기출.js_10,original/high/h1/2mid/25_매산고_2학기_중간_고1_기출.js_10,original/high/h1/2mid/25_매산고_2학기_중간_고1_기출.js,10,H22-C2-03,H22-C2-03,평면좌표|직선의 방정식|원의 방정식,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2mid/25_매산고_2학기_중간_고1_기출.js_12,original/high/h1/2mid/25_매산고_2학기_중간_고1_기출.js_12,original/high/h1/2mid/25_매산고_2학기_중간_고1_기출.js,12,H22-C2-04,H22-C2-04,직선의 방정식|도형의 이동,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2mid/25_매산고_2학기_중간_고1_기출.js_13,original/high/h1/2mid/25_매산고_2학기_중간_고1_기출.js_13,original/high/h1/2mid/25_매산고_2학기_중간_고1_기출.js,13,H22-C-09,,원의 방정식,false,REVIEW_REQUIRED
h1:original/high/h1/2mid/25_매산고_2학기_중간_고1_기출.js_14,original/high/h1/2mid/25_매산고_2학기_중간_고1_기출.js_14,original/high/h1/2mid/25_매산고_2학기_중간_고1_기출.js,14,H22-C2-03,H22-C2-03,직선의 방정식|원의 방정식,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2mid/25_매산고_2학기_중간_고1_기출.js_15,original/high/h1/2mid/25_매산고_2학기_중간_고1_기출.js_15,original/high/h1/2mid/25_매산고_2학기_중간_고1_기출.js,15,H22-C2-02,H22-C2-02,직선의 방정식,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2mid/25_매산고_2학기_중간_고1_기출.js_16,original/high/h1/2mid/25_매산고_2학기_중간_고1_기출.js_16,original/high/h1/2mid/25_매산고_2학기_중간_고1_기출.js,16,H22-C2-01,H22-C2-01,평면좌표,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2mid/25_매산고_2학기_중간_고1_기출.js_18,original/high/h1/2mid/25_매산고_2학기_중간_고1_기출.js_18,original/high/h1/2mid/25_매산고_2학기_중간_고1_기출.js,18,H22-C2-03,H22-C2-03,평면좌표|직선의 방정식|원의 방정식|도형의 이동,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2mid/25_매산고_2학기_중간_고1_기출.js_20,original/high/h1/2mid/25_매산고_2학기_중간_고1_기출.js_20,original/high/h1/2mid/25_매산고_2학기_중간_고1_기출.js,20,H22-C2-03,H22-C2-03,평면좌표|원의 방정식,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2mid/25_순천고_2학기_중간_고1_기출.js_3,original/high/h1/2mid/25_순천고_2학기_중간_고1_기출.js_3,original/high/h1/2mid/25_순천고_2학기_중간_고1_기출.js,3,H22-C2-01,H22-C2-01,직선의 방정식,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2mid/25_순천고_2학기_중간_고1_기출.js_6,original/high/h1/2mid/25_순천고_2학기_중간_고1_기출.js_6,original/high/h1/2mid/25_순천고_2학기_중간_고1_기출.js,6,H22-C2-02,H22-C2-02,직선의 방정식,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2mid/25_순천고_2학기_중간_고1_기출.js_7,original/high/h1/2mid/25_순천고_2학기_중간_고1_기출.js_7,original/high/h1/2mid/25_순천고_2학기_중간_고1_기출.js,7,H22-C2-03,H22-C2-03,원의 방정식,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2mid/25_순천고_2학기_중간_고1_기출.js_8,original/high/h1/2mid/25_순천고_2학기_중간_고1_기출.js_8,original/high/h1/2mid/25_순천고_2학기_중간_고1_기출.js,8,H22-C2-04,H22-C2-04,직선의 방정식|도형의 이동,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2mid/25_순천고_2학기_중간_고1_기출.js_9,original/high/h1/2mid/25_순천고_2학기_중간_고1_기출.js_9,original/high/h1/2mid/25_순천고_2학기_중간_고1_기출.js,9,H22-C2-03,H22-C2-03,원의 방정식,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2mid/25_순천고_2학기_중간_고1_기출.js_10,original/high/h1/2mid/25_순천고_2학기_중간_고1_기출.js_10,original/high/h1/2mid/25_순천고_2학기_중간_고1_기출.js,10,H22-C2-03,H22-C2-03,평면좌표|원의 방정식,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2mid/25_순천고_2학기_중간_고1_기출.js_12,original/high/h1/2mid/25_순천고_2학기_중간_고1_기출.js_12,original/high/h1/2mid/25_순천고_2학기_중간_고1_기출.js,12,H22-C2-02,H22-C2-02,직선의 방정식,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2mid/25_순천고_2학기_중간_고1_기출.js_15,original/high/h1/2mid/25_순천고_2학기_중간_고1_기출.js_15,original/high/h1/2mid/25_순천고_2학기_중간_고1_기출.js,15,H22-C2-04,H22-C2-04,직선의 방정식|원의 방정식|도형의 이동,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2mid/25_순천고_2학기_중간_고1_기출.js_16,original/high/h1/2mid/25_순천고_2학기_중간_고1_기출.js_16,original/high/h1/2mid/25_순천고_2학기_중간_고1_기출.js,16,H22-C2-03,H22-C2-03,직선의 방정식|원의 방정식,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2mid/25_순천고_2학기_중간_고1_기출.js_17,original/high/h1/2mid/25_순천고_2학기_중간_고1_기출.js_17,original/high/h1/2mid/25_순천고_2학기_중간_고1_기출.js,17,H22-C2-03,H22-C2-03,원의 방정식,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2mid/25_순천고_2학기_중간_고1_기출.js_18,original/high/h1/2mid/25_순천고_2학기_중간_고1_기출.js_18,original/high/h1/2mid/25_순천고_2학기_중간_고1_기출.js,18,H22-C2-02,H22-C2-02,평면좌표|직선의 방정식,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2mid/25_순천고_2학기_중간_고1_기출.js_19,original/high/h1/2mid/25_순천고_2학기_중간_고1_기출.js_19,original/high/h1/2mid/25_순천고_2학기_중간_고1_기출.js,19,H22-C2-03,H22-C2-03,원의 방정식,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2mid/25_순천고_2학기_중간_고1_기출.js_21,original/high/h1/2mid/25_순천고_2학기_중간_고1_기출.js_21,original/high/h1/2mid/25_순천고_2학기_중간_고1_기출.js,21,H22-C2-02,H22-C2-02,직선의 방정식,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2mid/25_순천고_2학기_중간_고1_기출.js_22,original/high/h1/2mid/25_순천고_2학기_중간_고1_기출.js_22,original/high/h1/2mid/25_순천고_2학기_중간_고1_기출.js,22,H22-C2-03,H22-C2-03,직선의 방정식|원의 방정식,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2mid/25_순천여고_2학기_중간_고1_공통수학2.js_6,original/high/h1/2mid/25_순천여고_2학기_중간_고1_공통수학2.js_6,original/high/h1/2mid/25_순천여고_2학기_중간_고1_공통수학2.js,6,H22-C2-04,H22-C2-04,평면좌표|도형의 이동,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2mid/25_순천여고_2학기_중간_고1_공통수학2.js_7,original/high/h1/2mid/25_순천여고_2학기_중간_고1_공통수학2.js_7,original/high/h1/2mid/25_순천여고_2학기_중간_고1_공통수학2.js,7,H22-C2-04,H22-C2-04,도형의 이동,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2mid/25_순천여고_2학기_중간_고1_공통수학2.js_9,original/high/h1/2mid/25_순천여고_2학기_중간_고1_공통수학2.js_9,original/high/h1/2mid/25_순천여고_2학기_중간_고1_공통수학2.js,9,H22-C2-01,H22-C2-01,평면좌표,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2mid/25_순천여고_2학기_중간_고1_공통수학2.js_10,original/high/h1/2mid/25_순천여고_2학기_중간_고1_공통수학2.js_10,original/high/h1/2mid/25_순천여고_2학기_중간_고1_공통수학2.js,10,H22-C2-02,H22-C2-02,직선의 방정식,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2mid/25_순천여고_2학기_중간_고1_공통수학2.js_12,original/high/h1/2mid/25_순천여고_2학기_중간_고1_공통수학2.js_12,original/high/h1/2mid/25_순천여고_2학기_중간_고1_공통수학2.js,12,H22-C2-02,H22-C2-02,직선의 방정식,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2mid/25_순천여고_2학기_중간_고1_공통수학2.js_13,original/high/h1/2mid/25_순천여고_2학기_중간_고1_공통수학2.js_13,original/high/h1/2mid/25_순천여고_2학기_중간_고1_공통수학2.js,13,H22-C2-02,H22-C2-02,평면좌표|직선의 방정식,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2mid/25_순천여고_2학기_중간_고1_공통수학2.js_14,original/high/h1/2mid/25_순천여고_2학기_중간_고1_공통수학2.js_14,original/high/h1/2mid/25_순천여고_2학기_중간_고1_공통수학2.js,14,H22-C2-03,H22-C2-03,직선의 방정식|원의 방정식,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2mid/25_순천여고_2학기_중간_고1_공통수학2.js_15,original/high/h1/2mid/25_순천여고_2학기_중간_고1_공통수학2.js_15,original/high/h1/2mid/25_순천여고_2학기_중간_고1_공통수학2.js,15,H22-C2-04,H22-C2-04,직선의 방정식|도형의 이동,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2mid/25_순천여고_2학기_중간_고1_공통수학2.js_17,original/high/h1/2mid/25_순천여고_2학기_중간_고1_공통수학2.js_17,original/high/h1/2mid/25_순천여고_2학기_중간_고1_공통수학2.js,17,H22-C2-03,H22-C2-03,직선의 방정식|원의 방정식,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2mid/25_순천여고_2학기_중간_고1_공통수학2.js_18,original/high/h1/2mid/25_순천여고_2학기_중간_고1_공통수학2.js_18,original/high/h1/2mid/25_순천여고_2학기_중간_고1_공통수학2.js,18,H22-C2-04,H22-C2-04,도형의 이동,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2mid/25_순천여고_2학기_중간_고1_공통수학2.js_19,original/high/h1/2mid/25_순천여고_2학기_중간_고1_공통수학2.js_19,original/high/h1/2mid/25_순천여고_2학기_중간_고1_공통수학2.js,19,H22-C2-02,H22-C2-02,직선의 방정식,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2mid/25_순천여고_2학기_중간_고1_공통수학2.js_20,original/high/h1/2mid/25_순천여고_2학기_중간_고1_공통수학2.js_20,original/high/h1/2mid/25_순천여고_2학기_중간_고1_공통수학2.js,20,H22-C2-02,H22-C2-02,직선의 방정식,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2mid/25_순천여고_2학기_중간_고1_공통수학2.js_21,original/high/h1/2mid/25_순천여고_2학기_중간_고1_공통수학2.js_21,original/high/h1/2mid/25_순천여고_2학기_중간_고1_공통수학2.js,21,H22-C2-03,H22-C2-03,원의 방정식,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2mid/25_제일고_2학기_중간_고1_기출.js_11,original/high/h1/2mid/25_제일고_2학기_중간_고1_기출.js_11,original/high/h1/2mid/25_제일고_2학기_중간_고1_기출.js,11,H22-C2-01,H22-C2-01,평면좌표,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2mid/25_제일고_2학기_중간_고1_기출.js_12,original/high/h1/2mid/25_제일고_2학기_중간_고1_기출.js_12,original/high/h1/2mid/25_제일고_2학기_중간_고1_기출.js,12,H22-C2-02,H22-C2-02,직선의 방정식,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2mid/25_제일고_2학기_중간_고1_기출.js_13,original/high/h1/2mid/25_제일고_2학기_중간_고1_기출.js_13,original/high/h1/2mid/25_제일고_2학기_중간_고1_기출.js,13,H22-C2-03,H22-C2-03,원의 방정식,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2mid/25_제일고_2학기_중간_고1_기출.js_14,original/high/h1/2mid/25_제일고_2학기_중간_고1_기출.js_14,original/high/h1/2mid/25_제일고_2학기_중간_고1_기출.js,14,H22-C2-02,H22-C2-02,직선의 방정식,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2mid/25_제일고_2학기_중간_고1_기출.js_15,original/high/h1/2mid/25_제일고_2학기_중간_고1_기출.js_15,original/high/h1/2mid/25_제일고_2학기_중간_고1_기출.js,15,H22-C2-02,H22-C2-02,직선의 방정식,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2mid/25_제일고_2학기_중간_고1_기출.js_16,original/high/h1/2mid/25_제일고_2학기_중간_고1_기출.js_16,original/high/h1/2mid/25_제일고_2학기_중간_고1_기출.js,16,H22-C2-03,H22-C2-03,평면좌표|직선의 방정식|원의 방정식,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2mid/25_제일고_2학기_중간_고1_기출.js_17,original/high/h1/2mid/25_제일고_2학기_중간_고1_기출.js_17,original/high/h1/2mid/25_제일고_2학기_중간_고1_기출.js,17,H22-C2-03,H22-C2-03,원의 방정식,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2mid/25_제일고_2학기_중간_고1_기출.js_18,original/high/h1/2mid/25_제일고_2학기_중간_고1_기출.js_18,original/high/h1/2mid/25_제일고_2학기_중간_고1_기출.js,18,H22-C2-04,H22-C2-04,평면좌표|도형의 이동,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2mid/25_제일고_2학기_중간_고1_기출.js_20,original/high/h1/2mid/25_제일고_2학기_중간_고1_기출.js_20,original/high/h1/2mid/25_제일고_2학기_중간_고1_기출.js,20,H22-C2-01,H22-C2-01,평면좌표,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2mid/25_제일고_2학기_중간_고1_기출.js_22,original/high/h1/2mid/25_제일고_2학기_중간_고1_기출.js_22,original/high/h1/2mid/25_제일고_2학기_중간_고1_기출.js,22,H22-C2-03,H22-C2-03,원의 방정식,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2mid/25_효천고_2학기_중간_고1_기출.js_1,original/high/h1/2mid/25_효천고_2학기_중간_고1_기출.js_1,original/high/h1/2mid/25_효천고_2학기_중간_고1_기출.js,1,H22-C2-01,H22-C2-01,평면좌표,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2mid/25_효천고_2학기_중간_고1_기출.js_2,original/high/h1/2mid/25_효천고_2학기_중간_고1_기출.js_2,original/high/h1/2mid/25_효천고_2학기_중간_고1_기출.js,2,H22-C2-02,H22-C2-02,직선의 방정식,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2mid/25_효천고_2학기_중간_고1_기출.js_3,original/high/h1/2mid/25_효천고_2학기_중간_고1_기출.js_3,original/high/h1/2mid/25_효천고_2학기_중간_고1_기출.js,3,H22-C2-03,H22-C2-03,원의 방정식,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2mid/25_효천고_2학기_중간_고1_기출.js_4,original/high/h1/2mid/25_효천고_2학기_중간_고1_기출.js_4,original/high/h1/2mid/25_효천고_2학기_중간_고1_기출.js,4,H22-C2-03,H22-C2-03,직선의 방정식|원의 방정식,true,INCLUDED_CONFIRMATION
